Simulation started at 11/10/2025 3:50:10 PM.
No.    PC    Instruction     A  SZYHXPNC  B  C  D  E  H  L  IX   IY   SP   A' SZYHXPNC' B' C' D' E' H' L'

50     046F  LD B,(HL)       01 10101000  01 FF 00 01 10 02 FFFF FFFF FFF5 FF 11111111  FF FF FF FF FF FF
51     0470  CALL 0461H      01 10101000  01 FF 00 01 10 02 FFFF FFFF FFF3 FF 11111111  FF FF FF FF FF FF
52     0461  INC B           01 00101000  02 FF 00 01 10 02 FFFF FFFF FFF3 FF 11111111  FF FF FF FF FF FF
53     0462  CP 3FH          01 10111011  02 FF 00 01 10 02 FFFF FFFF FFF3 FF 11111111  FF FF FF FF FF FF
54     0464  JR Z,+4         01 10111011  02 FF 00 01 10 02 FFFF FFFF FFF3 FF 11111111  FF FF FF FF FF FF
55     0466  JR +4           01 10111011  02 FF 00 01 10 02 FFFF FFFF FFF3 FF 11111111  FF FF FF FF FF FF
56     046A  RET             01 10111011  02 FF 00 01 10 02 FFFF FFFF FFF5 FF 11111111  FF FF FF FF FF FF
57     0473  LD (HL),B       01 10111011  02 FF 00 01 10 02 FFFF FFFF FFF5 FF 11111111  FF FF FF FF FF FF
58     0474  POP BC          01 10111011  01 FF 00 01 10 02 FFFF FFFF FFF7 FF 11111111  FF FF FF FF FF FF
59     0475  RET             01 10111011  01 FF 00 01 10 02 FFFF FFFF FFF9 FF 11111111  FF FF FF FF FF FF
60     045B  POP DE          01 10111011  01 FF FF FF 10 02 FFFF FFFF FFFB FF 11111111  FF FF FF FF FF FF
61     045C  POP HL          01 10111011  01 FF FF FF FF FF FFFF FFFF FFFD FF 11111111  FF FF FF FF FF FF
62     045D  RET             01 10111011  01 FF FF FF FF FF FFFF FFFF FFFF FF 11111111  FF FF FF FF FF FF
63     040E  INC A           02 00101001  01 FF FF FF FF FF FFFF FFFF FFFF FF 11111111  FF FF FF FF FF FF
64     040F  INC B           02 00101001  02 FF FF FF FF FF FFFF FFFF FFFF FF 11111111  FF FF FF FF FF FF
65     0410  CP 46H          02 10111011  02 FF FF FF FF FF FFFF FFFF FFFF FF 11111111  FF FF FF FF FF FF
66     0412  JR Z,+4         02 10111011  02 FF FF FF FF FF FFFF FFFF FFFF FF 11111111  FF FF FF FF FF FF
67     0414  JR -9           02 10111011  02 FF FF FF FF FF FFFF FFFF FFFF FF 11111111  FF FF FF FF FF FF
68     040B  CALL 044BH      02 10111011  02 FF FF FF FF FF FFFF FFFF FFFD FF 11111111  FF FF FF FF FF FF
69     044B  PUSH HL         02 10111011  02 FF FF FF FF FF FFFF FFFF FFFB FF 11111111  FF FF FF FF FF FF
70     044C  PUSH DE         02 10111011  02 FF FF FF FF FF FFFF FFFF FFF9 FF 11111111  FF FF FF FF FF FF
71     044D  LD D,00H        02 10111011  02 FF 00 FF FF FF FFFF FFFF FFF9 FF 11111111  FF FF FF FF FF FF
72     044F  LD HL,1002H     02 10111011  02 FF 00 FF 10 02 FFFF FFFF FFF9 FF 11111111  FF FF FF FF FF FF
73     0452  LD E,(HL)       02 10111011  02 FF 00 02 10 02 FFFF FFFF FFF9 FF 11111111  FF FF FF FF FF FF
74     0453  LD HL,1004H     02 10111011  02 FF 00 02 10 04 FFFF FFFF FFF9 FF 11111111  FF FF FF FF FF FF
75     0456  ADD HL,DE       02 10101000  02 FF 00 02 10 06 FFFF FFFF FFF9 FF 11111111  FF FF FF FF FF FF
76     0457  LD (HL),B       02 10101000  02 FF 00 02 10 06 FFFF FFFF FFF9 FF 11111111  FF FF FF FF FF FF
77     0458  CALL 046BH      02 10101000  02 FF 00 02 10 06 FFFF FFFF FFF7 FF 11111111  FF FF FF FF FF FF
78     046B  PUSH BC         02 10101000  02 FF 00 02 10 06 FFFF FFFF FFF5 FF 11111111  FF FF FF FF FF FF
79     046C  LD HL,1002H     02 10101000  02 FF 00 02 10 02 FFFF FFFF FFF5 FF 11111111  FF FF FF FF FF FF
80     046F  LD B,(HL)       02 10101000  02 FF 00 02 10 02 FFFF FFFF FFF5 FF 11111111  FF FF FF FF FF FF
81     0470  CALL 0461H      02 10101000  02 FF 00 02 10 02 FFFF FFFF FFF3 FF 11111111  FF FF FF FF FF FF
82     0461  INC B           02 00101000  03 FF 00 02 10 02 FFFF FFFF FFF3 FF 11111111  FF FF FF FF FF FF
83     0462  CP 3FH          02 10111011  03 FF 00 02 10 02 FFFF FFFF FFF3 FF 11111111  FF FF FF FF FF FF
84     0464  JR Z,+4         02 10111011  03 FF 00 02 10 02 FFFF FFFF FFF3 FF 11111111  FF FF FF FF FF FF
85     0466  JR +4           02 10111011  03 FF 00 02 10 02 FFFF FFFF FFF3 FF 11111111  FF FF FF FF FF FF
86     046A  RET             02 10111011  03 FF 00 02 10 02 FFFF FFFF FFF5 FF 11111111  FF FF FF FF FF FF
87     0473  LD (HL),B       02 10111011  03 FF 00 02 10 02 FFFF FFFF FFF5 FF 11111111  FF FF FF FF FF FF
88     0474  POP BC          02 10111011  02 FF 00 02 10 02 FFFF FFFF FFF7 FF 11111111  FF FF FF FF FF FF
89     0475  RET             02 10111011  02 FF 00 02 10 02 FFFF FFFF FFF9 FF 11111111  FF FF FF FF FF FF
90     045B  POP DE          02 10111011  02 FF FF FF 10 02 FFFF FFFF FFFB FF 11111111  FF FF FF FF FF FF
91     045C  POP HL          02 10111011  02 FF FF FF FF FF FFFF FFFF FFFD FF 11111111  FF FF FF FF FF FF
92     045D  RET             02 10111011  02 FF FF FF FF FF FFFF FFFF FFFF FF 11111111  FF FF FF FF FF FF
93     040E  INC A           03 00101001  02 FF FF FF FF FF FFFF FFFF FFFF FF 11111111  FF FF FF FF FF FF
94     040F  INC B           03 00101001  03 FF FF FF FF FF FFFF FFFF FFFF FF 11111111  FF FF FF FF FF FF
95     0410  CP 46H          03 10111011  03 FF FF FF FF FF FFFF FFFF FFFF FF 11111111  FF FF FF FF FF FF
96     0412  JR Z,+4         03 10111011  03 FF FF FF FF FF FFFF FFFF FFFF FF 11111111  FF FF FF FF FF FF
97     0414  JR -9           03 10111011  03 FF FF FF FF FF FFFF FFFF FFFF FF 11111111  FF FF FF FF FF FF
98     040B  CALL 044BH      03 10111011  03 FF FF FF FF FF FFFF FFFF FFFD FF 11111111  FF FF FF FF FF FF
99     044B  PUSH HL         03 10111011  03 FF FF FF FF FF FFFF FFFF FFFB FF 11111111  FF FF FF FF FF FF
100    044C  PUSH DE         03 10111011  03 FF FF FF FF FF FFFF FFFF FFF9 FF 11111111  FF FF FF FF FF FF
101    044D  LD D,00H        03 10111011  03 FF 00 FF FF FF FFFF FFFF FFF9 FF 11111111  FF FF FF FF FF FF
102    044F  LD HL,1002H     03 10111011  03 FF 00 FF 10 02 FFFF FFFF FFF9 FF 11111111  FF FF FF FF FF FF
103    0452  LD E,(HL)       03 10111011  03 FF 00 03 10 02 FFFF FFFF FFF9 FF 11111111  FF FF FF FF FF FF
104    0453  LD HL,1004H     03 10111011  03 FF 00 03 10 04 FFFF FFFF FFF9 FF 11111111  FF FF FF FF FF FF
105    0456  ADD HL,DE       03 10101000  03 FF 00 03 10 07 FFFF FFFF FFF9 FF 11111111  FF FF FF FF FF FF
106    0457  LD (HL),B       03 10101000  03 FF 00 03 10 07 FFFF FFFF FFF9 FF 11111111  FF FF FF FF FF FF
107    0458  CALL 046BH      03 10101000  03 FF 00 03 10 07 FFFF FFFF FFF7 FF 11111111  FF FF FF FF FF FF
108    046B  PUSH BC         03 10101000  03 FF 00 03 10 07 FFFF FFFF FFF5 FF 11111111  FF FF FF FF FF FF
109    046C  LD HL,1002H     03 10101000  03 FF 00 03 10 02 FFFF FFFF FFF5 FF 11111111  FF FF FF FF FF FF
110    046F  LD B,(HL)       03 10101000  03 FF 00 03 10 02 FFFF FFFF FFF5 FF 11111111  FF FF FF FF FF FF
111    0470  CALL 0461H      03 10101000  03 FF 00 03 10 02 FFFF FFFF FFF3 FF 11111111  FF FF FF FF FF FF
112    0461  INC B           03 00101000  04 FF 00 03 10 02 FFFF FFFF FFF3 FF 11111111  FF FF FF FF FF FF
113    0462  CP 3FH          03 10111011  04 FF 00 03 10 02 FFFF FFFF FFF3 FF 11111111  FF FF FF FF FF FF
114    0464  JR Z,+4         03 10111011  04 FF 00 03 10 02 FFFF FFFF FFF3 FF 11111111  FF FF FF FF FF FF
115    0466  JR +4           03 10111011  04 FF 00 03 10 02 FFFF FFFF FFF3 FF 11111111  FF FF FF FF FF FF
116    0491  INT             03 10111011  04 FF 00 03 10 02 FFFF FFFF FFF1 FF 11111111  FF FF FF FF FF FF
117    0491  PUSH AF         03 10111011  04 FF 00 03 10 02 FFFF FFFF FFEF FF 11111111  FF FF FF FF FF FF
118    0492  PUSH BC         03 10111011  04 FF 00 03 10 02 FFFF FFFF FFED FF 11111111  FF FF FF FF FF FF
119    0493  PUSH DE         03 10111011  04 FF 00 03 10 02 FFFF FFFF FFEB FF 11111111  FF FF FF FF FF FF
120    0494  PUSH HL         03 10111011  04 FF 00 03 10 02 FFFF FFFF FFE9 FF 11111111  FF FF FF FF FF FF
121    0495  CALL 0444H      03 10111011  04 FF 00 03 10 02 FFFF FFFF FFE7 FF 11111111  FF FF FF FF FF FF
122    0444  LD HL,1001H     03 10111011  04 FF 00 03 10 01 FFFF FFFF FFE7 FF 11111111  FF FF FF FF FF FF
123    0447  LD A,(HL)       FA 10111011  04 FF 00 03 10 01 FFFF FFFF FFE7 FF 11111111  FF FF FF FF FF FF
124    0448  RET             FA 10111011  04 FF 00 03 10 01 FFFF FFFF FFE9 FF 11111111  FF FF FF FF FF FF
125    0498  LD B,A          FA 10111011  FA FF 00 03 10 01 FFFF FFFF FFE9 FF 11111111  FF FF FF FF FF FF
126    0499  CALL 044BH      FA 10111011  FA FF 00 03 10 01 FFFF FFFF FFE7 FF 11111111  FF FF FF FF FF FF
127    044B  PUSH HL         FA 10111011  FA FF 00 03 10 01 FFFF FFFF FFE5 FF 11111111  FF FF FF FF FF FF
128    044C  PUSH DE         FA 10111011  FA FF 00 03 10 01 FFFF FFFF FFE3 FF 11111111  FF FF FF FF FF FF
129    044D  LD D,00H        FA 10111011  FA FF 00 03 10 01 FFFF FFFF FFE3 FF 11111111  FF FF FF FF FF FF
130    044F  LD HL,1002H     FA 10111011  FA FF 00 03 10 02 FFFF FFFF FFE3 FF 11111111  FF FF FF FF FF FF
131    0452  LD E,(HL)       FA 10111011  FA FF 00 03 10 02 FFFF FFFF FFE3 FF 11111111  FF FF FF FF FF FF
132    0453  LD HL,1004H     FA 10111011  FA FF 00 03 10 04 FFFF FFFF FFE3 FF 11111111  FF FF FF FF FF FF
133    0456  ADD HL,DE       FA 10101000  FA FF 00 03 10 07 FFFF FFFF FFE3 FF 11111111  FF FF FF FF FF FF
134    0457  LD (HL),B       FA 10101000  FA FF 00 03 10 07 FFFF FFFF FFE3 FF 11111111  FF FF FF FF FF FF
135    0458  CALL 046BH      FA 10101000  FA FF 00 03 10 07 FFFF FFFF FFE1 FF 11111111  FF FF FF FF FF FF
136    046B  PUSH BC         FA 10101000  FA FF 00 03 10 07 FFFF FFFF FFDF FF 11111111  FF FF FF FF FF FF
137    046C  LD HL,1002H     FA 10101000  FA FF 00 03 10 02 FFFF FFFF FFDF FF 11111111  FF FF FF FF FF FF
138    046F  LD B,(HL)       FA 10101000  03 FF 00 03 10 02 FFFF FFFF FFDF FF 11111111  FF FF FF FF FF FF
139    0470  CALL 0461H      FA 10101000  03 FF 00 03 10 02 FFFF FFFF FFDD FF 11111111  FF FF FF FF FF FF
140    0461  INC B           FA 00101000  04 FF 00 03 10 02 FFFF FFFF FFDD FF 11111111  FF FF FF FF FF FF
141    0462  CP 3FH          FA 10111010  04 FF 00 03 10 02 FFFF FFFF FFDD FF 11111111  FF FF FF FF FF FF
142    0464  JR Z,+4         FA 10111010  04 FF 00 03 10 02 FFFF FFFF FFDD FF 11111111  FF FF FF FF FF FF
143    0466  JR +4           FA 10111010  04 FF 00 03 10 02 FFFF FFFF FFDD FF 11111111  FF FF FF FF FF FF
144    046A  RET             FA 10111010  04 FF 00 03 10 02 FFFF FFFF FFDF FF 11111111  FF FF FF FF FF FF
145    0473  LD (HL),B       FA 10111010  04 FF 00 03 10 02 FFFF FFFF FFDF FF 11111111  FF FF FF FF FF FF
146    0474  POP BC          FA 10111010  FA FF 00 03 10 02 FFFF FFFF FFE1 FF 11111111  FF FF FF FF FF FF
147    0475  RET             FA 10111010  FA FF 00 03 10 02 FFFF FFFF FFE3 FF 11111111  FF FF FF FF FF FF
148    045B  POP DE          FA 10111010  FA FF 00 03 10 02 FFFF FFFF FFE5 FF 11111111  FF FF FF FF FF FF
149    045C  POP HL          FA 10111010  FA FF 00 03 10 01 FFFF FFFF FFE7 FF 11111111  FF FF FF FF FF FF
150    045D  RET             FA 10111010  FA FF 00 03 10 01 FFFF FFFF FFE9 FF 11111111  FF FF FF FF FF FF
151    049C  POP HL          FA 10111010  FA FF 00 03 10 02 FFFF FFFF FFEB FF 11111111  FF FF FF FF FF FF
152    049D  POP DE          FA 10111010  FA FF 00 03 10 02 FFFF FFFF FFED FF 11111111  FF FF FF FF FF FF
153    049E  POP BC          FA 10111010  04 FF 00 03 10 02 FFFF FFFF FFEF FF 11111111  FF FF FF FF FF FF
154    049F  POP AF          03 10111011  04 FF 00 03 10 02 FFFF FFFF FFF1 FF 11111111  FF FF FF FF FF FF
155    04A0  EI              03 10111011  04 FF 00 03 10 02 FFFF FFFF FFF1 FF 11111111  FF FF FF FF FF FF
156    04A1  RETI            03 10111011  04 FF 00 03 10 02 FFFF FFFF FFF3 FF 11111111  FF FF FF FF FF FF
157    046A  RET             03 10111011  04 FF 00 03 10 02 FFFF FFFF FFF5 FF 11111111  FF FF FF FF FF FF
158    0473  LD (HL),B       03 10111011  04 FF 00 03 10 02 FFFF FFFF FFF5 FF 11111111  FF FF FF FF FF FF
159    0474  POP BC          03 10111011  03 FF 00 03 10 02 FFFF FFFF FFF7 FF 11111111  FF FF FF FF FF FF
160    0475  RET             03 10111011  03 FF 00 03 10 02 FFFF FFFF FFF9 FF 11111111  FF FF FF FF FF FF
161    045B  POP DE          03 10111011  03 FF FF FF 10 02 FFFF FFFF FFFB FF 11111111  FF FF FF FF FF FF
162    045C  POP HL          03 10111011  03 FF FF FF FF FF FFFF FFFF FFFD FF 11111111  FF FF FF FF FF FF
163    045D  RET             03 10111011  03 FF FF FF FF FF FFFF FFFF FFFF FF 11111111  FF FF FF FF FF FF
164    040E  INC A           04 00101001  03 FF FF FF FF FF FFFF FFFF FFFF FF 11111111  FF FF FF FF FF FF
165    040F  INC B           04 00101001  04 FF FF FF FF FF FFFF FFFF FFFF FF 11111111  FF FF FF FF FF FF
166    0410  CP 46H          04 10111011  04 FF FF FF FF FF FFFF FFFF FFFF FF 11111111  FF FF FF FF FF FF
167    0412  JR Z,+4         04 10111011  04 FF FF FF FF FF FFFF FFFF FFFF FF 11111111  FF FF FF FF FF FF
168    0414  JR -9           04 10111011  04 FF FF FF FF FF FFFF FFFF FFFF FF 11111111  FF FF FF FF FF FF
169    040B  CALL 044BH      04 10111011  04 FF FF FF FF FF FFFF FFFF FFFD FF 11111111  FF FF FF FF FF FF
170    044B  PUSH HL         04 10111011  04 FF FF FF FF FF FFFF FFFF FFFB FF 11111111  FF FF FF FF FF FF
171    044C  PUSH DE         04 10111011  04 FF FF FF FF FF FFFF FFFF FFF9 FF 11111111  FF FF FF FF FF FF
172    044D  LD D,00H        04 10111011  04 FF 00 FF FF FF FFFF FFFF FFF9 FF 11111111  FF FF FF FF FF FF
173    044F  LD HL,1002H     04 10111011  04 FF 00 FF 10 02 FFFF FFFF FFF9 FF 11111111  FF FF FF FF FF FF
174    0452  LD E,(HL)       04 10111011  04 FF 00 04 10 02 FFFF FFFF FFF9 FF 11111111  FF FF FF FF FF FF
175    0453  LD HL,1004H     04 10111011  04 FF 00 04 10 04 FFFF FFFF FFF9 FF 11111111  FF FF FF FF FF FF
176    0456  ADD HL,DE       04 10101000  04 FF 00 04 10 08 FFFF FFFF FFF9 FF 11111111  FF FF FF FF FF FF
177    0457  LD (HL),B       04 10101000  04 FF 00 04 10 08 FFFF FFFF FFF9 FF 11111111  FF FF FF FF FF FF
178    0458  CALL 046BH      04 10101000  04 FF 00 04 10 08 FFFF FFFF FFF7 FF 11111111  FF FF FF FF FF FF
179    046B  PUSH BC         04 10101000  04 FF 00 04 10 08 FFFF FFFF FFF5 FF 11111111  FF FF FF FF FF FF
180    046C  LD HL,1002H     04 10101000  04 FF 00 04 10 02 FFFF FFFF FFF5 FF 11111111  FF FF FF FF FF FF
181    046F  LD B,(HL)       04 10101000  04 FF 00 04 10 02 FFFF FFFF FFF5 FF 11111111  FF FF FF FF FF FF
182    0470  CALL 0461H      04 10101000  04 FF 00 04 10 02 FFFF FFFF FFF3 FF 11111111  FF FF FF FF FF FF
183    0461  INC B           04 00101000  05 FF 00 04 10 02 FFFF FFFF FFF3 FF 11111111  FF FF FF FF FF FF
